STATE	YEAR	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
CO	1991	34.30	47.40	47.50	55.30	67.70	76.90	81.00	79.50	72.00	62.90	41.30	37.60
CO	1992	37.70	44.20	50.80	62.90	68.20	73.50	78.30	77.40	74.00	64.10	39.30	33.50
CO	1993	34.60	36.20	48.70	55.10	66.20	75.00	81.10	77.40	70.20	58.20	41.80	39.30
CO	1994	39.80	39.20	52.80	56.80	69.50	82.20	83.50	82.40	74.20	59.00	43.90	41.90
CO	1995	38.80	47.90	49.00	52.60	58.40	72.40	80.50	84.00	71.50	61.30	51.90	42.20
CO	1996	37.90	45.00	48.00	58.20	70.00	78.50	82.60	80.80	69.10	60.40	46.90	39.50
CO	1997	36.60	39.50	54.00	51.30	66.60	76.50	82.30	78.10	73.00	60.10	43.90	35.30
CO	1998	40.20	40.40	46.80	54.30	69.40	74.60	82.80	80.50	77.60	59.90	49.50	39.60
CO	1999	41.70	47.70	53.70	52.60	63.90	75.30	82.10	78.60	69.50	64.80	57.30	40.70
CO	2000	41.00	47.50	49.10	61.90	71.50	78.70	85.40	84.20	74.90	60.60	39.20	38.20
CO	2001	37.60	39.70	47.90	59.60	68.00	79.80	85.10	81.60	76.20	63.00	51.30	39.20
CO	2002	38.40	41.90	46.90	62.60	69.20	83.70	87.10	82.30	72.00	56.30	46.20	39.80
CO	2003	44.60	38.20	49.40	59.30	68.00	74.40	89.30	83.30	72.10	67.30	44.70	41.50
CO	2004	39.30	38.80	56.70	57.40	69.90	75.70	80.50	77.80	72.10	59.60	44.90	40.90
CO	2005	41.40	43.50	48.30	57.50	67.60	75.90	86.80	79.40	75.30	61.90	51.00	38.60
CO	2006	43.50	42.60	48.00	62.80	71.30	82.10	83.80	79.10	67.50	57.60	50.00	38.40
CO	2007	31.90	39.10	54.20	56.60	67.40	78.50	84.80	83.20	74.40	63.40	53.10	33.60
CO	2008	33.40	40.20	47.80	55.80	65.70	77.60	84.90	79.40	72.20	62.20	51.40	37.40
CO	2009	41.10	45.80	51.40	55.40	67.90	73.30	81.90	80.30	71.90	53.10	51.50	32.20
CO	2010	38.90	36.30	48.30	57.20	64.20	79.10	83.40	80.90	78.00	63.60	47.20	42.80
CO	2011	37.10	37.80	51.30	56.80	62.80	78.90	84.70	84.40	73.00	61.30	48.40	37.00
CO	2012	43.00	39.30	57.20	62.80	71.00	84.80	85.60	83.20	74.80	61.00	54.30	38.40
CO	2013	36.70	38.80	48.80	53.50	67.20	82.30	82.80	81.10	73.70	57.50	47.90	36.60
CO	2014	39.80	39.40	50.50	57.10	66.30	78.00	82.60	78.40	74.30	64.00	46.70	39.40
CO	2015	41.10	44.90	54.90	58.60	61.10	79.20	80.20	81.80	77.90	64.60	47.50	37.40
CO	2016	38.10	45.70	52.00	56.80	64.10	82.30	84.40	78.70	74.60	67.30	54.00	37.60
CO	2017	36.20	47.90	57.10	57.70	65.20	80.70	84.10	78.80	73.10	61.50	54.90	43.90
CO	2018	43.70	41.40	52.40	58.50	72.00	82.90	85.10	81.00	77.20	57.10	45.00	39.20
CO	2019	38.60	37.60	45.80	59.20	60.50	75.40	84.40	83.60	78.30	56.30	48.80	39.90
CO	2020	40.10	39.50	51.50	58.10	70.60	80.90	84.50	86.30	74.80	63.40	52.60	39.70
OH	1895	30.80	27.60	44.20	62.30	73.60	85.00	84.10	85.90	80.70	58.20	50.20	40.20
OH	1896	34.40	37.30	40.40	68.00	79.60	80.50	82.90	82.20	72.80	58.60	53.00	39.20
OH	1897	31.70	38.40	50.30	58.70	68.00	79.20	86.20	80.40	82.30	70.90	50.00	38.40
OH	1898	38.20	37.50	53.60	57.40	71.80	83.30	87.30	83.20	79.40	62.90	46.80	35.70
OH	1899	35.40	30.20	45.60	63.90	74.40	83.30	86.00	86.20	75.80	69.00	52.10	37.20
OH	1900	37.80	34.90	40.80	60.80	76.00	80.60	85.30	87.70	80.90	72.30	49.20	37.80
OH	1901	36.20	29.50	48.30	56.50	70.50	82.40	89.80	83.70	76.00	66.50	45.30	35.00
OH	1902	34.30	30.20	50.80	58.20	75.90	78.20	85.50	80.80	75.10	65.40	56.50	35.50
OH	1903	33.80	38.00	55.40	60.40	76.90	74.40	84.60	82.60	79.50	64.50	46.20	31.00
OH	1904	28.90	32.00	48.20	53.50	72.20	78.90	82.70	81.40	77.10	63.80	50.40	35.30
OH	1905	29.60	28.40	52.20	59.30	72.30	80.30	83.70	82.50	77.00	62.70	48.50	38.90
OH	1906	42.80	37.80	37.60	64.30	73.90	80.80	83.40	84.90	80.40	61.80	50.00	38.10
OH	1907	39.80	35.00	54.80	51.80	66.30	76.00	83.60	80.20	75.80	59.50	46.50	39.20
OH	1908	36.20	35.20	52.20	61.40	73.00	81.40	85.70	83.60	83.80	66.80	51.70	39.90
OH	1909	39.10	43.30	44.90	59.90	70.10	80.40	81.80	83.30	75.00	59.80	58.60	32.00
OH	1910	33.60	34.30	60.50	63.00	66.90	77.40	84.90	84.30	77.10	67.50	42.10	31.50
OH	1911	39.80	42.30	46.50	57.20	80.30	82.20	86.90	83.20	77.80	62.50	45.00	42.20
OH	1912	24.80	31.10	40.40	62.70	74.00	78.60	83.70	78.70	78.20	66.40	50.70	41.30
OH	1913	43.50	35.50	49.70	60.40	72.40	83.20	86.40	85.50	75.90	63.20	52.20	40.30
OH	1914	38.70	31.50	43.70	59.50	74.80	83.70	86.70	84.20	75.70	66.40	51.80	32.40
OH	1915	33.00	42.40	40.20	66.20	68.40	77.20	81.60	76.00	77.20	65.50	53.50	35.40
OH	1916	43.80	33.90	43.40	58.00	72.80	75.10	88.90	85.80	75.60	65.80	52.00	36.80
OH	1917	35.70	35.10	47.70	58.80	64.10	77.70	82.70	82.10	74.10	56.30	47.60	28.90
OH	1918	22.00	41.20	55.80	58.20	78.00	80.60	83.70	88.20	69.20	67.10	49.70	45.30
OH	1919	40.50	39.90	50.80	60.10	69.20	85.50	87.60	81.50	78.70	68.20	49.00	32.80
OH	1920	28.90	33.70	51.80	54.20	69.90	79.60	81.50	79.60	77.40	70.60	46.70	39.00
OH	1921	39.70	40.00	58.90	65.80	73.10	84.70	89.40	81.20	80.10	63.80	49.40	38.60
OH	1922	33.70	41.10	50.20	62.60	75.10	82.00	83.80	82.00	80.40	67.10	51.40	39.80
OH	1923	37.60	33.70	47.60	60.40	71.30	82.80	84.70	81.40	75.40	61.50	48.50	46.90
OH	1924	32.40	34.50	41.80	60.70	65.00	78.30	81.90	83.30	70.80	68.70	49.40	35.60
OH	1925	34.00	45.00	51.80	66.50	68.30	84.50	82.70	83.40	80.50	52.30	46.30	34.80
OH	1926	33.70	38.00	41.10	54.20	73.90	77.40	84.40	83.20	75.80	61.60	47.70	35.10
OH	1927	33.50	44.70	50.50	59.70	69.90	75.30	83.90	76.80	80.10	68.60	54.00	38.90
OH	1928	35.90	38.00	46.60	55.80	71.60	74.10	84.30	84.20	72.90	67.20	49.30	41.70
OH	1929	33.20	33.20	55.50	63.30	69.80	78.90	84.00	79.50	76.50	61.10	45.40	37.20
OH	1930	35.00	46.70	47.40	63.50	74.60	82.90	89.60	84.50	79.00	61.50	51.10	35.60
OH	1931	38.20	42.20	41.40	60.80	70.50	82.40	89.20	82.10	80.60	67.20	57.80	45.70
OH	1932	45.80	45.50	41.30	59.90	74.00	82.40	85.40	85.10	77.70	63.70	46.90	39.90
OH	1933	44.40	40.80	45.30	60.70	73.00	87.30	87.00	82.50	79.10	62.60	46.50	42.00
OH	1934	39.50	29.60	45.00	60.40	78.00	88.60	90.70	82.50	78.30	65.60	53.40	36.30
OH	1935	36.80	38.10	55.10	56.10	67.20	77.60	87.00	82.10	75.50	64.80	48.60	30.00
OH	1936	28.40	31.50	52.20	55.20	76.70	83.40	89.90	86.80	80.20	63.20	45.30	42.90
OH	1937	42.80	39.40	42.80	59.60	71.60	79.40	83.90	84.60	74.60	60.00	46.60	33.90
OH	1938	36.50	44.80	55.20	63.00	72.50	79.00	84.40	85.20	75.50	68.60	54.40	38.50
OH	1939	39.70	42.00	50.00	56.30	76.40	82.30	83.20	83.60	83.20	67.20	48.40	40.90
OH	1940	22.80	35.80	42.20	56.30	69.50	80.60	85.60	83.00	74.60	65.40	47.90	43.40
OH	1941	34.30	33.70	41.80	67.80	76.80	81.30	86.30	83.10	81.10	67.00	51.60	42.90
OH	1942	35.20	33.20	50.30	66.60	73.40	81.50	85.30	80.80	75.50	64.90	50.90	33.60
OH	1943	36.00	41.40	46.90	55.80	70.80	85.30	84.90	83.00	74.50	62.60	47.40	36.90
OH	1944	38.90	41.70	45.50	58.40	78.80	84.90	87.80	85.00	76.30	63.90	48.90	32.50
OH	1945	27.50	38.40	60.10	64.20	67.20	78.30	83.30	83.30	77.90	62.40	50.40	31.10
OH	1946	38.80	41.60	61.00	62.30	68.80	80.10	85.00	78.30	78.80	69.90	55.30	43.30
OH	1947	40.90	30.20	39.90	61.00	68.80	78.60	79.80	87.10	77.00	72.70	45.00	38.10
OH	1948	28.00	40.10	51.60	65.40	70.20	81.10	85.00	83.80	78.10	60.10	54.20	41.50
OH	1949	42.20	45.20	49.20	59.50	74.90	84.80	87.70	83.80	71.50	69.40	49.70	43.20
OH	1950	46.60	39.20	44.00	54.80	73.60	79.40	81.60	80.50	73.20	67.80	44.40	32.20
OH	1951	37.20	39.20	47.80	58.20	74.10	80.10	84.70	82.70	75.60	68.40	43.10	39.20
OH	1952	40.50	41.40	46.50	61.30	70.50	86.10	88.40	83.30	77.90	60.90	52.10	39.90
OH	1953	40.40	43.70	49.60	56.00	74.60	84.60	86.30	85.20	79.20	70.30	53.00	41.10
OH	1954	37.40	46.70	46.10	67.90	68.10	83.50	86.20	81.10	79.70	64.50	49.40	37.20
OH	1955	33.90	39.40	50.30	67.50	75.00	78.00	88.20	86.00	79.90	64.60	47.50	36.10
OH	1956	32.80	40.80	46.90	57.70	71.20	80.40	81.90	81.40	73.50	69.40	50.60	45.00
OH	1957	30.40	42.60	48.00	62.10	72.80	81.10	84.60	83.20	76.00	59.80	50.60	43.10
OH	1958	33.40	30.40	41.80	62.20	71.70	76.20	82.00	80.70	74.50	64.40	52.60	31.10
OH	1959	33.60	40.80	47.20	62.30	76.40	81.80	84.90	86.30	80.30	63.40	47.40	41.40
OH	1960	37.10	35.10	34.80	65.40	68.50	79.30	82.30	83.20	78.80	64.90	52.40	32.60
OH	1961	30.30	43.40	50.80	53.10	67.70	78.40	82.60	82.00	80.70	66.80	50.60	37.40
OH	1962	32.80	36.90	44.20	59.80	78.60	81.70	82.00	83.90	72.50	65.00	48.10	33.70
OH	1963	28.60	31.70	50.50	62.10	70.50	81.90	84.20	79.20	76.30	74.80	52.70	28.30
OH	1964	38.20	36.00	48.70	62.60	75.80	81.60	85.40	81.70	77.40	63.60	56.00	40.00
OH	1965	35.50	38.30	41.40	60.00	78.80	80.60	83.20	81.00	76.80	61.30	52.10	43.20
OH	1966	30.10	36.40	51.40	56.60	68.00	83.20	86.60	81.30	72.80	61.40	50.50	37.10
OH	1967	39.90	34.60	48.90	63.30	66.10	83.20	81.50	79.20	73.40	63.40	43.60	41.40
OH	1968	30.80	33.80	51.10	63.40	67.10	80.60	83.80	82.90	76.20	64.40	50.20	36.40
OH	1969	33.20	37.40	44.70	63.40	73.10	78.70	83.70	83.00	74.30	64.30	46.00	32.90
OH	1970	27.80	36.70	42.80	62.70	76.10	80.60	83.40	83.40	80.10	65.40	49.00	41.30
OH	1971	31.30	37.50	43.50	60.70	69.60	84.10	82.00	80.80	77.40	70.60	49.90	46.20
OH	1972	37.10	36.00	46.20	59.60	73.40	75.00	82.40	80.90	75.50	58.40	44.40	39.80
OH	1973	37.70	37.50	56.60	58.10	67.10	82.20	83.40	82.60	78.70	68.00	51.90	38.90
OH	1974	39.00	37.90	50.50	63.60	70.20	76.70	85.00	81.70	70.80	62.40	50.60	37.10
OH	1975	38.70	39.00	44.50	55.10	75.80	80.20	84.10	83.70	69.60	65.20	56.00	40.10
OH	1976	31.30	47.60	56.20	63.80	69.90	81.10	82.50	79.40	73.30	57.10	43.20	33.70
OH	1977	20.10	36.10	54.90	65.80	79.20	78.50	86.40	80.80	76.80	60.80	51.00	36.10
OH	1978	25.50	26.10	41.50	60.80	69.00	80.70	82.30	81.80	79.90	61.50	52.30	40.20
OH	1979	27.30	27.10	52.30	58.40	71.00	79.70	80.60	79.30	75.20	61.20	51.70	41.40
OH	1980	33.90	31.80	43.70	58.80	73.10	78.50	84.90	84.10	78.00	60.10	47.80	37.50
OH	1981	29.00	40.30	46.40	64.60	68.70	80.40	83.20	81.10	72.60	61.80	51.70	35.30
OH	1982	29.50	35.60	48.30	57.60	78.50	76.40	84.40	79.60	73.70	66.20	52.50	47.20
OH	1983	35.70	42.10	51.60	56.50	68.30	80.80	87.30	87.00	78.50	63.80	52.40	30.50
OH	1984	29.30	45.40	39.30	58.30	67.40	83.80	81.60	82.60	73.80	67.40	49.40	46.60
OH	1985	28.10	34.70	52.50	67.70	74.30	76.70	82.90	80.00	78.00	66.50	53.80	32.60
OH	1986	35.60	37.50	51.30	65.80	73.10	80.60	84.50	80.60	77.60	64.60	47.80	38.10
OH	1987	34.10	41.60	53.70	61.10	77.20	82.50	85.30	83.40	76.50	59.30	55.70	41.30
OH	1988	34.00	36.80	48.90	60.80	74.40	84.10	88.70	85.80	74.90	56.90	52.50	39.90
OH	1989	43.50	34.60	51.20	57.70	67.00	78.70	83.50	80.60	73.60	65.10	49.50	26.60
OH	1990	44.10	45.80	53.60	61.20	67.20	78.90	81.90	80.10	74.60	64.20	56.30	44.90
OH	1991	35.50	42.10	51.90	64.00	79.00	84.00	86.00	84.00	76.20	66.70	47.80	42.50
OH	1992	37.30	43.30	48.40	60.00	70.20	76.10	81.00	77.50	74.00	62.00	48.80	39.40
OH	1993	39.20	35.50	43.50	59.40	72.90	78.60	85.20	85.10	72.30	62.40	49.70	37.30
OH	1994	27.60	37.10	47.40	64.40	68.40	83.50	83.40	79.60	75.00	65.80	56.70	44.40
OH	1995	35.80	35.80	52.80	60.00	69.40	81.20	84.80	86.40	74.20	66.00	44.70	34.50
OH	1996	33.40	37.20	43.50	60.30	68.60	80.50	81.80	82.80	73.70	64.60	43.10	42.70
OH	1997	34.50	42.90	51.30	58.20	65.80	78.50	83.10	78.50	74.40	64.70	45.90	39.70
OH	1998	41.90	46.00	50.00	62.80	76.00	79.00	82.90	83.90	80.90	65.60	53.60	45.80
OH	1999	37.30	43.60	45.70	64.60	75.30	82.90	88.70	81.60	78.90	64.60	57.50	41.40
OH	2000	35.60	44.40	55.70	60.80	74.30	80.30	80.40	80.10	74.20	67.60	48.40	29.50
OH	2001	34.80	42.30	44.80	66.30	72.90	79.40	83.20	83.40	73.60	64.50	59.80	45.30
OH	2002	42.10	45.00	49.10	63.70	68.50	82.80	87.30	85.70	81.10	61.00	47.30	37.30
OH	2003	28.60	33.00	52.30	64.00	69.50	76.40	82.00	82.60	73.40	62.50	55.50	39.40
OH	2004	31.10	39.10	51.80	61.60	75.90	78.30	81.30	78.70	77.60	64.40	53.50	39.60
OH	2005	36.90	41.00	44.20	64.20	68.70	84.00	85.70	85.00	79.70	63.90	54.70	33.80
OH	2006	46.40	39.60	48.00	67.10	70.30	78.80	84.20	84.00	71.40	60.20	53.50	47.00
OH	2007	39.90	27.80	54.20	58.40	77.60	83.20	82.30	85.90	80.60	70.60	51.10	40.00
OH	2008	37.60	36.60	45.20	64.80	68.40	81.70	83.40	82.20	79.30	63.80	49.00	39.70
OH	2009	29.20	41.00	53.90	62.40	73.00	80.00	78.70	81.30	75.20	59.60	55.80	37.70
OH	2010	31.00	32.40	52.60	68.80	74.40	82.40	86.00	85.30	78.50	66.80	53.60	30.80
OH	2011	30.90	39.00	48.70	62.80	71.70	81.20	88.40	83.00	73.30	63.00	56.50	44.00
OH	2012	40.40	43.40	63.60	62.00	78.90	83.10	89.20	83.70	74.80	62.20	49.90	44.70
OH	2013	38.70	36.80	42.50	62.60	74.80	80.00	81.90	80.70	76.30	64.80	47.40	39.40
OH	2014	29.50	32.60	44.50	63.70	73.20	81.20	79.90	81.50	75.70	63.00	45.20	41.60
OH	2015	32.50	27.40	45.80	63.00	77.00	79.20	81.80	81.20	80.10	65.00	57.70	51.70
OH	2016	35.80	42.60	56.40	62.30	70.70	83.00	85.40	86.10	80.90	68.60	56.80	37.90
OH	2017	41.60	50.30	49.60	68.40	70.70	81.00	83.00	80.50	77.30	68.10	51.20	37.40
OH	2018	33.70	45.60	45.00	55.80	79.90	81.30	84.50	83.00	78.70	64.20	43.60	42.20
OH	2019	35.00	41.50	46.50	63.40	73.50	78.80	86.40	82.40	81.90	68.20	46.40	44.70
OH	2020	41.70	40.60	53.90	58.50	68.80	81.90	88.20	83.10	76.20	63.10	57.20	40.40
VA	1895	40.40	35.90	53.20	64.50	73.00	85.00	82.80	86.00	83.90	64.80	57.20	47.40
VA	1896	42.50	47.00	51.10	69.20	80.80	80.60	85.20	85.70	78.10	65.00	62.50	46.00
VA	1897	41.60	48.10	57.50	66.40	73.50	82.70	86.60	84.60	81.70	70.00	57.90	47.10
VA	1898	46.60	46.80	59.60	61.10	77.00	84.40	86.40	84.90	80.80	66.90	52.70	45.60
VA	1899	44.80	38.40	54.00	65.70	77.00	85.10	87.30	85.90	77.80	69.30	57.90	46.10
