county,Pop,Perc,Town,x_1,y_1
Lorain ,"311,395",3.29,Elyria,-82.10584,41.36768
Lucas ,"425,820",-3.54,Toledo,-83.53626,41.65381
Madison ,"45,415",4.56,London,-83.44813,39.88596
Mahoning ,"227,617",-4.52,Youngstown,-80.65079,41.0981
Marion ,"64,425",-3.06,Marion,-83.12852,40.58382
Medina ,"181,282",5.09,Medina,-81.86402,41.14042
Meigs ,"22,593",-4.8,Pomeroy,-82.03276,39.02724
Mercer ,"41,612",2.02,Celina,-84.57078,40.55338
Miami ,"108,877",6.23,Troy,-84.20422,40.04003
Monroe ,"13,388",-8.36,Woodsfield,-81.11522,39.76249
Montgomery ,"531,861",-0.7,Dayton,-84.19381,39.7592
Morgan ,"14,362",-4.47,McConnelsville,-81.85423,39.64882
Morrow ,"35,758",2.78,Mount Gilead,-82.8274,40.54923
Muskingum ,"86,383",0.2,Zanesville,-82.00139,39.94054
Noble ,"14,578",-0.56,Caldwell,-81.52201,39.74783
Ottawa ,"40,037",-3.2,Port Clinton,-82.94145,41.51329
Paulding ,"18,532",-5.24,Paulding,-84.58074,41.13779
Perry ,"36,324",0.8,New Lexington,-82.2084,39.71473
Pickaway ,"59,217",6.24,Circleville,-82.94213,39.60098
Pike ,"27,452",-4.05,Waverly,-82.9843,39.12766
Portage ,"162,394",0.62,Ravenna,-81.24456,41.15772
Preble ,"40,624",-3.67,Eaton,-84.63649,39.74498
Putnam ,"33,979",-1.44,Ottawa,-84.04772,41.01916
Richland ,"121,488",-2.15,Mansfield,-82.51524,40.75854
Ross ,"76,230",-2.39,Chillicothe,-82.96776,39.33537
Sandusky ,"58,074",-4.62,Fremont,-83.11419,41.34754
Scioto ,"74,982",-5.88,Portsmouth,-82.99273,38.74535
Seneca ,"55,146",-2.6,Tiffin,-83.1767,41.11549
Shelby ,"48,526",-1.67,Sidney,-84.15422,40.28688
Stark ,"369,322",-1.61,Canton,-81.37194,40.79788
Summit ,"540,333",-0.24,Akron,-81.51431,41.08431
Trumbull ,"196,844",-6.19,Warren,-80.81239,41.23621
Tuscarawas ,"91,803",-0.8,New Philadelphia,-81.44639,40.48976
Union ,"61,400",17.03,Marysville,-83.36674,40.23532
Van Wert ,"28,319",-1.25,Van Wert,-84.58003,40.86963
Vinton ,"12,965",-3.28,McArthur,-82.47999,39.24668
Warren ,"239,916",12.41,Lebanon,-84.20972,39.43344
Washington ,"59,511",-3.57,Marietta,-81.46119,39.42393
Wayne ,"115,550",1.01,Wooster,-81.93437,40.80612
Williams ,"36,598",-2.44,Bryan,-84.55103,41.47433
Wood ,"131,569",4.46,Bowling Green,-83.65046,41.37571
Wyandot ,"21,480",-4.91,Upper Sandusky,-83.28486,40.82752
